DATE,"(2, 4]","(4, 5]","(5, 6]","(6, 7]","(7, 8]","(8, 9]","(9, 10]","(10, 11]","(11, 12]","(12, 13]","(13, 14]","(14, 15]","(15, 16]","(16, 17]","(17, 18]","(18, 19]","(19, 20]","(20, 21]","(21, 22]","(22, 23]","(23, 24]","(24, 25]","(25, 26]","(26, 27]","(27, 29]"
2007-10-01,0.8687460047673395,2.377275478883484,4.82000627296924,8.163269343061126,8.42636075726112,8.541872202532359,9.05143841256252,5.149137965963001,6.074669932241303,6.095873502011238,4.479618144794865,5.270425654589089,4.3217348239402025,3.840034598734645,2.841083803973948,3.0986946204814925,3.237841218619903,2.2664960384107244,1.7642592932085017,1.643343259144475,2.423339179375959,1.4152162606973417,1.1461138367697825,1.1135352719410143,1.569614123065322
2007-11-01,0.594267924233024,2.0231709557748654,5.601805039336556,8.129766203071528,8.365910407451006,8.646312635234384,8.297518208731738,5.696708945889603,6.344793406161778,5.515843327675045,4.494481643927218,5.309854163067102,4.237426646483307,3.862146189119097,3.0706664515896955,2.6750431011379874,3.0667163727823192,2.303939116480474,2.021870048202473,1.7257201548212375,2.4217688192027973,1.5622934881817856,1.253461219322077,0.9641722934081913,1.8143432387146912
2007-12-01,0.600996176156843,2.2980747601299756,4.773599365807076,7.939689985093381,8.51364235155919,8.962492806819943,9.542663335045239,6.082889141878416,6.028318468375453,5.298666822426053,4.5875024938267,5.107203399378818,4.189509303834211,3.6068711269259754,2.902189289558369,2.8109719084654334,2.8507546281823095,2.542243485428047,2.1324416815983835,1.7009938991469389,2.240974977365161,1.6326286546787578,1.3384520231864199,0.8863095359166931,1.4299203792162247
2008-01-01,0.5721638320438095,2.2712419775364934,4.623814419302561,8.831962544121952,6.95950480799389,10.32804164577739,6.968139500248735,6.269373243285901,5.1963306788024495,7.6398388609003085,5.2012902248059705,4.139806775049781,3.6491457812180363,4.2443878970477185,3.298713461241825,2.4943592433513033,2.360283619038183,3.5186772394596555,1.6955668592900957,2.0779296044095052,1.8302110992969827,1.80413617694597,1.5894226602346593,0.7792461254565771,1.656411723140256
2008-02-01,0.6083133026224427,1.9984140102944177,4.830614117801593,9.123692489473767,6.922919418589826,10.43143430473828,6.928582698507296,5.946742552291971,5.932585883728244,7.15904381096105,4.705602207230463,4.251519167310616,3.767762496035007,4.329872509731905,2.7109420700046085,2.606034931435636,2.716323541724072,3.364349560638801,2.1258444905441953,1.7987433378946165,2.100393762145615,1.5429694333150554,1.4442527851727496,0.8799612101401402,1.7730859076676446
2008-03-01,0.8902244472069161,1.9917495376845842,4.707417489143732,9.486647407929272,7.314202616041991,9.665182208435505,6.422491682007612,5.8546841462824055,6.312819541595683,7.489895026673328,4.640254846637945,3.924166091479284,3.7459333950277496,4.297366857303964,3.263833871696395,2.7002833289775197,2.703718174038682,3.711013538262378,1.6063824583452748,1.7815783256138775,1.7219175136347273,1.4701080272460434,1.6043181788539602,0.9062698713831278,1.7875414184980325
2008-04-01,0.6116686603657961,2.0270640271821256,5.044990553961443,9.081342378161551,6.801186207453346,10.162403689629082,6.799913865952925,6.350461621346926,5.627494251900088,7.379539360008302,4.432341814045968,3.671621653753687,4.038351581629881,4.183977660584988,3.5112998914101228,2.83583182383439,2.2434106430397556,3.441592865899475,1.8214212378532637,1.7573363646874818,2.0052838305211065,1.963292463753682,1.4525274327228006,0.9940381416881449,1.7616079786136716
2008-05-01,0.6258429759375522,2.0400964030893367,4.784309134416742,8.994904203605898,7.209863814089336,10.374256220336521,7.1090570085426865,5.9743876241022456,5.613417784393249,7.013503020510867,4.995092839040832,4.214431308922459,4.241000351049251,4.2666551597264,3.2729129139320783,2.395557758700022,2.4924203228052617,3.292150955508118,1.7493151760258778,1.4927216268039079,1.7899724530040377,1.6709713454998265,1.4947372173150466,0.9650380553515221,1.9273843272909148
2008-06-01,0.6904675533101777,1.9672904095619712,4.458307242420881,9.113677106908426,7.156064452457853,10.343620954827857,7.282347755451591,6.74833541439767,5.468795648921837,7.301409091300372,5.1128469558608955,3.902551519102695,3.7439768791119676,3.9623239974187388,2.8052702941633196,2.828646103247273,2.5137900226139784,3.1861551790119687,1.7205398954089313,1.548575314776673,1.6678714760836781,1.7442774229368434,2.0410854560423566,0.7841076108341886,1.907666243827867
2008-07-01,0.4765389354611374,1.9747091662820602,5.596381860633862,9.076000033293315,7.162563726501761,10.799335794606954,7.799071237242578,6.335600377641346,6.09438271891877,6.812056598649569,4.514967930911151,4.092570941829009,3.538083080857705,4.005865635080008,3.006391826219545,2.2765714120309606,2.3276466090576147,3.164025206766182,1.8567881128152532,1.591349768336163,1.6474776568849907,1.8640168539757604,1.47291376504092,0.728369939209369,1.786320811754011
